ccode,year,gender,age_group,edu_ilo,neet_fc
TGO,2017,Female,25-54,Lower Secondary,0.4162996360434649
TGO,2018,Female,25-54,Lower Secondary,0.444527538954527
TGO,2019,Female,25-54,Lower Secondary,0.2281480073452187
TGO,2020,Female,25-54,Lower Secondary,0.5197915630078025
TGO,2021,Female,25-54,Lower Secondary,0.5124576882594482
TGO,2022,Female,25-54,Lower Secondary,0.2974177984503106
TGO,2023,Female,25-54,Lower Secondary,0.4743589782915483
TGO,2024,Female,25-54,Lower Secondary,0.3550393285298603
TGO,2025,Female,25-54,Lower Secondary,0.3550393285298603
TGO,2015,Female,25-54,No Education,0.578238783889513
TGO,2016,Female,25-54,No Education,0.4028475311392846
TGO,2017,Female,25-54,No Education,0.3900614465962766
TGO,2018,Female,25-54,No Education,0.4445463606955517
TGO,2019,Female,25-54,No Education,0.1831446483308803
TGO,2020,Female,25-54,No Education,0.3814223483801803
TGO,2021,Female,25-54,No Education,0.4422369926086282
TGO,2022,Female,25-54,No Education,0.2613355460838989
TGO,2023,Female,25-54,No Education,0.6727754058247118
TGO,2024,Female,25-54,No Education,0.5824838102094138
TGO,2025,Female,25-54,No Education,0.5824838102094138
TGO,2015,Female,25-54,Primary,0.264336968428214
TGO,2016,Female,25-54,Primary,0.2852697278971973
TGO,2017,Female,25-54,Primary,0.2465252786964809
TGO,2018,Female,25-54,Primary,0.2656223898696537
TGO,2019,Female,25-54,Primary,0.1301746411884897
TGO,2020,Female,25-54,Primary,0.3046521308553488
TGO,2021,Female,25-54,Primary,0.3015658474239098
TGO,2022,Female,25-54,Primary,0.2001919448952298
TGO,2023,Female,25-54,Primary,0.3410515962599524
TGO,2024,Female,25-54,Primary,0.2622167743639361
TGO,2025,Female,25-54,Primary,0.2622167743639361
TGO,2015,Female,25-54,Tertiary,0.3704126890672178
TGO,2016,Female,25-54,Tertiary,0.3734148902204993
TGO,2017,Female,25-54,Tertiary,0.5135244632937978
TGO,2018,Female,25-54,Tertiary,0.3349552610614357
TGO,2019,Female,25-54,Tertiary,0.310235090425621
TGO,2020,Female,25-54,Tertiary,0.2881178173782698
TGO,2021,Female,25-54,Tertiary,0.4819005585438307
TGO,2022,Female,25-54,Tertiary,0.2919160626359385
TGO,2023,Female,25-54,Tertiary,0.4036483365462129
TGO,2024,Female,25-54,Tertiary,0.300496026939404
TGO,2025,Female,25-54,Tertiary,0.300496026939404
TGO,2015,Female,25-54,Upper Secondary,0.4537338489719972
TGO,2016,Female,25-54,Upper Secondary,0.4368997695171421
TGO,2017,Female,25-54,Upper Secondary,0.2322936975077326
TGO,2018,Female,25-54,Upper Secondary,0.3204729805276983
TGO,2019,Female,25-54,Upper Secondary,0.1580724725138123
TGO,2020,Female,25-54,Upper Secondary,0.5446028197039341
TGO,2021,Female,25-54,Upper Secondary,0.4332738185082377
TGO,2022,Female,25-54,Upper Secondary,0.0947511537505007
TGO,2023,Female,25-54,Upper Secondary,0.4823695675428926
TGO,2024,Female,25-54,Upper Secondary,0.4521541550892272
TGO,2025,Female,25-54,Upper Secondary,0.4521541550892272
TUN,2015,Female,25-54,Lower Secondary,0.458500965996392
TUN,2016,Female,25-54,Lower Secondary,0.4904008124353615
TUN,2017,Female,25-54,Lower Secondary,0.5125007799329423
TUN,2018,Female,25-54,Lower Secondary,0.444527538954527
TUN,2019,Female,25-54,Lower Secondary,0.6785167169288342
TUN,2020,Female,25-54,Lower Secondary,0.5197915630078025
TUN,2021,Female,25-54,Lower Secondary,0.5124576882594482
TUN,2022,Female,25-54,Lower Secondary,0.95
TUN,2023,Female,25-54,Lower Secondary,0.95
TUN,2024,Female,25-54,Lower Secondary,0.3550393285298603
TUN,2025,Female,25-54,Lower Secondary,0.3550393285298603
TUN,2015,Female,25-54,No Education,0.578238783889513
TUN,2016,Female,25-54,No Education,0.4028475311392846
TUN,2017,Female,25-54,No Education,0.448810055004596
TUN,2018,Female,25-54,No Education,0.4445463606955517
TUN,2019,Female,25-54,No Education,0.6715710380738312
TUN,2020,Female,25-54,No Education,0.3814223483801803
TUN,2021,Female,25-54,No Education,0.4422369926086282
TUN,2022,Female,25-54,No Education,0.8386600370392022
TUN,2023,Female,25-54,No Education,0.8673139575119498
TUN,2024,Female,25-54,No Education,0.5824838102094138
TUN,2025,Female,25-54,No Education,0.5824838102094138
TUN,2015,Female,25-54,Primary,0.264336968428214
TUN,2016,Female,25-54,Primary,0.2852697278971973
TUN,2017,Female,25-54,Primary,0.3034938939796265
TUN,2018,Female,25-54,Primary,0.2656223898696537
TUN,2019,Female,25-54,Primary,0.3871419750467266
TUN,2020,Female,25-54,Primary,0.3046521308553488
TUN,2021,Female,25-54,Primary,0.3015658474239098
TUN,2022,Female,25-54,Primary,0.8920534487767998
TUN,2023,Female,25-54,Primary,0.8885904851522434
TUN,2024,Female,25-54,Primary,0.2622167743639361
TUN,2025,Female,25-54,Primary,0.2622167743639361
TUN,2015,Female,25-54,Tertiary,0.3704126890672178
TUN,2016,Female,25-54,Tertiary,0.3734148902204993
TUN,2017,Female,25-54,Tertiary,0.3990176879940634
TUN,2018,Female,25-54,Tertiary,0.3349552610614357
TUN,2019,Female,25-54,Tertiary,0.2413453665106051
TUN,2020,Female,25-54,Tertiary,0.2881178173782698
TUN,2021,Female,25-54,Tertiary,0.4819005585438307
TUN,2022,Female,25-54,Tertiary,0.8168974503575807
TUN,2023,Female,25-54,Tertiary,0.8248335264258313
TUN,2024,Female,25-54,Tertiary,0.300496026939404
TUN,2025,Female,25-54,Tertiary,0.300496026939404
TUN,2015,Female,25-54,Upper Secondary,0.4537338489719972
TUN,2016,Female,25-54,Upper Secondary,0.4368997695171421
TUN,2017,Female,25-54,Upper Secondary,0.3056305316608523
TUN,2018,Female,25-54,Upper Secondary,0.3204729805276983
TUN,2019,Female,25-54,Upper Secondary,0.1940403895088203
TUN,2020,Female,25-54,Upper Secondary,0.5446028197039341
TUN,2021,Female,25-54,Upper Secondary,0.4332738185082377
TUN,2022,Female,25-54,Upper Secondary,0.6790100903196806
